symbol,x,y
FUN0,100715.0,76303.0
FUN0,76979.0,103165.0
FUN0,100715.0,76303.0
FUN0,76979.0,103165.0
FUN0,78513.0,95371.0
FUN0,78207.0,101215.0
FUN0,86631.0,84105.0
FUN0,81877.0,94672.0
FUN0,85238.0,86456.0
FUN0,82650.0,92030.0
FUN0,84859.0,88985.0
FUN0,99483.0,77037.0
FUN0,96340.0,78886.0
FUN0,97796.0,77331.0
FUN0,84859.0,88985.0
FUN0,83861.0,91688.0
FUN0,87664.0,82711.0
FUN0,82324.0,93906.0
FUN0,90968.0,80772.0
FUN0,84281.0,90681.0
FUN0,89529.0,81248.0
FUN0,85486.0,86078.0
FUN0,85855.0,85416.0
FUN0,96841.0,77617.0
FUN0,85855.0,85416.0
FUN0,99760.0,76589.0
FUN0,87664.0,82711.0
FUN0,94995.0,79201.0
FUN0,91851.0,80108.0
FUN0,91835.0,80546.0
FUN0,77807.0,101443.0
FUN0,97796.0,77331.0
FUN0,89099.0,82110.0
FUN0,88228.0,82352.0
FUN0,90484.0,80962.0
FUN0,92806.0,79822.0
FUN0,77777.0,102130.0
FUN0,94040.0,79487.0
FUN0,96434.0,78206.0
FUN0,77192.0,102624.0
FUN0,81877.0,94672.0
FUN0,78513.0,95371.0
FUN0,93290.0,79632.0
FUN0,77690.0,102564.0
FUN0,84281.0,90681.0
FUN0,94100.0,79321.0
FUN0,89183.0,82066.0
FUN0,84097.0,90996.0
FUN0,88228.0,82352.0
FUN0,92806.0,79822.0
FUN0,90484.0,80962.0
FUN0,94995.0,79201.0
FUN0,96841.0,77617.0
FUN0,82650.0,92030.0
FUN0,96434.0,78206.0
FUN0,93290.0,79632.0
FUN0,89529.0,81248.0
FUN0,82192.0,94165.0
FUN0,82324.0,93906.0
FUN0,82192.0,94165.0
FUN0,83861.0,91688.0
FUN0,99760.0,76589.0
FUN0,84097.0,90996.0
FUN0,78207.0,101215.0
FUN0,94601.0,79203.0
FUN0,94601.0,79203.0
FUN0,89183.0,82066.0
FUN0,96340.0,78886.0
FUN0,91851.0,80108.0
FUN0,77192.0,102624.0
FUN0,91835.0,80546.0
FUN0,77690.0,102564.0
FUN0,100715.0,76303.0
FUN0,84859.0,88985.0
FUN0,85855.0,85416.0
FUN0,97796.0,77331.0
FUN0,90484.0,80962.0
FUN0,81877.0,94672.0
FUN0,78513.0,95371.0
FUN0,84281.0,90681.0
FUN0,93290.0,79632.0
FUN0,92806.0,79822.0
FUN0,87664.0,82711.0
FUN0,94995.0,79201.0
FUN0,82650.0,92030.0
FUN0,89529.0,81248.0
FUN0,88228.0,82352.0
FUN0,89183.0,82066.0
FUN0,82324.0,93906.0
FUN0,83861.0,91688.0
FUN0,84097.0,90996.0
FUN0,78207.0,101215.0
FUN0,94601.0,79203.0
FUN0,96340.0,78886.0
FUN0,91851.0,80108.0
FUN0,77192.0,102624.0
FUN0,77690.0,102564.0
FUN0,84859.0,88985.0
FUN0,90484.0,80962.0
FUN0,84281.0,90681.0
